iter	Passed	Remaining
402	7567	11210
403	7570	11167
404	7577	11132
405	7581	11092
406	7584	11050
407	7594	11020
408	7599	10981
409	7603	10942
410	7606	10900
411	7609	10860
412	7616	10824
413	7620	10787
414	7627	10752
415	7636	10720
416	7656	10704
417	7661	10667
418	7670	10636
419	7683	10610
420	7689	10575
421	7710	10561
422	7723	10535
423	7729	10500
424	7750	10486
425	7765	10463
426	7772	10429
427	7795	10418
428	7829	10421
429	7850	10407
430	7864	10382
431	7880	10361
432	7925	10378
433	7944	10360
434	7961	10340
435	7979	10322
436	7997	10303
437	8022	10293
438	8030	10262
439	8050	10245
440	8058	10214
441	8061	10177
442	8104	10189
443	8123	10172
444	8126	10135
445	8250	10248
446	8319	10292
447	8380	10325
448	8464	10387
449	8467	10349
450	8528	10381
451	8565	10385
452	8568	10346
453	8570	10306
454	8673	10389
455	8723	10406
456	8726	10369
457	8728	10329
458	8740	10302
459	8755	10277
460	8758	10240
461	8760	10201
462	8766	10167
463	8779	10142
464	8784	10107
465	8795	10078
466	8797	10041
467	9007	10238
468	9127	10333
469	9155	10324
470	9166	10295
471	9203	10295
472	9220	10273
473	9239	10252
474	9242	10215
475	9298	10236
476	9322	10221
477	9354	10215
478	9377	10199
479	9405	10189
480	9451	10198
481	9454	10160
482	9456	10121
483	9466	10091
484	9501	10088
485	9555	10106
486	9563	10074
487	9574	10045
488	9615	10048
489	9622	10015
490	9645	9998
491	9654	9968
492	9657	9931
493	9706	9942
494	9714	9910
495	9789	9947
496	9792	9910
497	9816	9895
498	9856	9895
499	9861	9861
500	9872	9833
501	9878	9799
502	9880	9762
503	9886	9729
504	9909	9712
505	9925	9689
506	9970	9695
507	9985	9670
508	9994	9641
509	9998	9606
510	10005	9574
511	10024	9555
512	10028	9520
513	10262	9703
514	10267	9669
515	10275	9638
516	10276	9601
517	10278	9564
518	10280	9527
519	10296	9504
520	10307	9476
521	10313	9444
522	10315	9408
523	10416	9462
524	10424	9431
525	10476	9440
526	10532	9453
527	10574	9453
528	10578	9418
529	10606	9405
530	10721	9469
531	10724	9433
532	10726	9398
533	11023	9619
534	11028	9585
535	11030	9548
536	11032	9512
537	11044	9483
538	11051	9452
539	11344	9663
540	11400	9672
541	11414	9645
542	11430	9620
543	11437	9587
544	11446	9556
545	11449	9519
546	11460	9491
547	11477	9467
548	11483	9433
549	11488	9399
550	11491	9364
551	11496	9330
552	11515	9308
553	11528	9281
554	11598	9299
555	11603	9266
556	11607	9231
557	11632	9214
558	11641	9183
559	11643	9148
560	11674	9135
561	11697	9116
562	11702	9083
563	11781	9107
564	11984	9227
565	11993	9196
566	11995	9160
567	12053	9167
568	12079	9149
569	12081	9113
570	12084	9079
571	12090	9046
572	12098	9015
573	12102	8982
574	12107	8948
575	12119	8921
576	12123	8888
577	12128	8854
578	12130	8820
579	12136	8788
580	12152	8763
581	12164	8737
582	12172	8706
583	12178	8674
584	12180	8641
585	12193	8614
586	12203	8585
587	12206	8553
588	12208	8519
589	12230	8499
590	12250	8478
591	12252	8444
592	12254	8410
593	12294	8403
594	12299	8372
595	12301	8338
596	12303	8305
597	12314	8278
598	12347	8266
599	12349	8233
600	12387	8223
601	12408	8203
602	12410	8170
603	12448	8161
604	12478	8147
605	12481	8115
606	12543	8121
607	12607	8128
608	12654	8124
609	12835	8205
610	12839	8174
611	12842	8142
612	12845	8109
613	13033	8193
614	13038	8162
615	13040	8129
616	13042	8095
617	13054	8069
618	13073	8046
619	13081	8017
620	13083	7985
621	13089	7954
622	13108	7932
623	13118	7904
624	13138	7883
625	13148	7855
626	13179	7840
627	13201	7820
628	13218	7796
629	13221	7764
630	13259	7753
631	13272	7728
632	13274	7696
633	13276	7664
634	13281	7634
635	13298	7611
636	13301	7579
637	13303	7548
638	13311	7520
639	13323	7494
640	13326	7463
641	13333	7435
642	13344	7409
643	13347	7378
644	13349	7347
645	13357	7319
646	13374	7296
647	13381	7269
648	13386	7239
649	13391	7210
650	13398	7183
651	13403	7153
652	13405	7123
653	13421	7100
654	13443	7080
655	13464	7060
656	13467	7030
657	13482	7007
658	13490	6980
659	13493	6951
